PM25,PM10,NO2,CO,O3,SO2
24,36,12,0.705,27,6
29,35,15,0.712,28,6
32,36,12,1.268,29,6
29,36,17,0.942,32,5
33,45,19,0.868,28,4
28,40,18,0.842,32,7
25,35,22,0.842,33,5
33,45,17,0.854,23,6
35,49,17,0.857,33,6
30,43,18,0.852,28,4
25,41,18,0.851,20,6
23,37,23,0.843,22,5
24,28,19,0.844,19,4
27,32,30,0.842,20,6
28,44,22,0.84,26,5
5,6,9,0.876,23,5
4,11,10,0.909,28,7
5,12,10,0.919,26,5
8,10,10,0.926,27,6
9,18.81818182,11,0.94,30,5
8,12,13,0.933,23,4
8,15,12,0.938,26,5
9,16,11,0.926,24,3
12,22,15,0.941,28,4
15,27,15,0.952,23,5
15,27,16,0.973,26,4
16,28,16,0.98,19,3
21,38,17,0.97,20,4
19,28,18,0.961,26,6
16,23,20,0.965,23,5
15,22,22,0.963,24,3
13,13,23,0.95,21,7
8,13,21,0.953,21,4
7,8,17,0.934,17,6
11,16,16,0.942,20,4
12,13,16,0.947,18,5
16,15.66666667,16,1.105,23,6
17,14.76666667,15,1.718,20,4
17,18,14,1.031,21,5
16,15.58484848,14,1.122,19,6
17,17,13,1.039,17,3
18,21,14,0.909,22,4
13,13,13,0.865,21,4
13,18,15,0.85,20,4
13,17,20,0.834,18,5
17,24,22,0.835,16,4
18,24,19,0.85,22,5
28,39,27,0.894,21,6
27,35,25,0.928,25,5
21,30,17,0.936,30,7
19,23,12,0.964,29,4
18,25,16,0.995,31,5
22,29,24,0.997,27,4
23,32,33,0.989,26,5
24,34,31,1.026,24,5
24,30,31,1.017,27,5
22,29,34,1.007,30,5
12,16,28,1.002,25,4
11,11,13,0.978,26,6
14,14,12,0.966,26,4
14,23.8,17,0.936,21,4
17,24.52727273,21,0.941,25,6
17,17,14,0.93,25,5
20,22,16,0.928,24,5
21,30,14,0.922,31,6
22,35,13,0.919,35,5
26,42,20,0.917,30,6
28,47,27,0.935,26,6
27,42,29,0.982,26,5
22,34,25,0.983,25,5
34,43,28,0.997,24,5
25,30,22,0.994,27,5
26,30,21,0.984,23,4
28,32,28,0.982,27,6
15,17,20,0.981,20,6
15,17,27,0.962,27,4
14,20,30,0.954,25,4
14,24,32,0.969,27,5
11,16,22,0.985,28,3
13,19,15,0.976,22,5
12,17,20,0.97,26,5
10,14,16,0.974,27,5
8,11,13,0.979,28,5
10,12,14,1.769,30,5
9,12,19,0.96,18,4
10,16,21,0.969,23,6
11,15,22,0.98,22,3
28,34,28,0.998,25,6
37,37,30,1.05,16,7
29,35,22,1.11,16,6
22,34,28,1.158,18,5
12,28,28,1.174,20,4
11,24,20,1.166,23,7
10,18,13,1.243,20,5
9,22,12,1.24,28,3
13,22,18,1.179,29,4
13,16,15,1.163,23,6
11,13,13,1.161,22,6
7,8,15,1.144,27,4
6,8,19,1.138,28,6
8,14,18,1.129,31,7
9,17,20,1.127,27,6
8,15,18,1.099,34,4
8,15,21,1.083,28,5
8,14,15,1.041,22,6
7,15,15,0.989,36,4
5,16,11,0.937,44,7
5,12.88888889,12,0.882,33,6
5,8,14,0.831,43,6
4,11.68888889,14,0.811,39,6
4,10.87070707,11,0.789,32,4
6,6,15,0.762,21,5
6,10,25,0.758,28,5
4,11,18,0.788,28,6
4,9,29,0.832,26,6
4,6,18,0.877,29,5
3,9,21,0.905,31,6
4,7,14,0.961,29,6
5,7.454545455,16,0.96,27,5
5,7,17,0.98,23,3
2,5,17,0.949,33,6
3,4,17,0.96,27,3
3,3,17,0.96,27,3
2,11,16,0.905,35,5
3,13,17,0.933,36,5
5,11,16,0.96,27,5
6,15,15,0.971,30,4
7,12,13,0.97,35,6
12,22,12,0.951,30,4
11,24,13,0.957,24,5
8,10,12,0.962,34,6
7,13,9,1.631,42,5
11,11,9,1.022,37,4
15,19,11,1.083,36,5
15,21,10,1.584,28,4
14,25,10,1.372,36,6
15,20,11,1.242,31,6
12,20,14,1.179,25,8
9,18,14,1.122,27,5
10,13,14,1.079,30,5
11,25,13,1.054,28,4
10,22,11,1.032,32,4
9,23,12,1.014,26,5
8,21,15,0.996,29,5
9,15,14,0.988,24,4
9,21,11,0.971,24,6
7,18,12,0.924,23,5
8,16,14,0.907,21,5
8,10,15,0.893,20,4
8,15,17,0.881,26,5
9,27,20,0.874,17,8
7,25,19,0.881,16,5
5,29,17,0.911,16,4
5,24,13,0.928,20,6
7,24,12,0.942,24,4
8,21,11,0.95,21,5
7,22,11,0.937,19,4
7,21,10,0.929,21,4
10,26,12,0.932,26,3
9,22,10,0.915,21,7
8,22,12,0.879,21,7
9,27,16,0.86,24,5
7,23,17,0.816,17,5
6,19,20,0.787,20,6
6,8,17,0.778,39,10
6,17.1,16,0.762,46,11
11,15.64545455,27,0.765,37,12
9,9,21,0.78,51,6
9,10,29,0.805,32,9
9,13,29,0.81,26,5
5,18,14,0.898,33,9
6,6,30,0.794,33,7
8,12,30,0.805,33,8
18,20,32,0.852,36,7
12,15,23,0.91,37,12
8,9,35,0.916,38,11
8,11.66666667,24,0.913,32,7
8,9,20,0.894,28,8
7,8,16,0.887,27,7
5,11.2962963,15,1.698,25,8
6,10.5962963,14,0.835,30,6
7,8,15,0.814,35,5
7,11.50538721,12,0.794,23,8
7,10,11,0.772,31,9
6,11,10,0.755,29,6
5,13,14,0.757,27,7
4,21,21,0.787,28,6
5,13,21,0.83,20,5
6,18,21,0.844,20,5
7,15,13,0.834,25,7
6,13,7,0.788,28,6
6,13,7,0.8,26,4
5,12,4,0.736,28,7
6,10,4,0.755,34,6
5,18,4,0.757,38,8
8,23,8,0.783,31,6
9,32,17,0.799,29,6
8,23,16,0.809,25,5
9,22,22,0.801,20,5
10,23,20,0.807,22,6
11,28,17,0.811,16,7
12,28,21,0.842,9,6
12,29,26,0.86,14,7
14,24,37,0.871,12,5
14,27,28,0.846,13,5
17,26,43,0.799,14,7
18,32,41,0.814,17,6
16,29,34,0.797,14,5
15,20,40,0.779,14,7
17,25,34,0.828,10,7
18,26,34,0.84,5,4
12,14,20,0.77,13,3
12,14,20,0.77,13,3
8,17.7,16,0.752,24,3
9,17.42727273,18,0.74,19,5
6,7,18,0.765,16,5
6,18,20,0.793,26,7
5,15,18,0.825,19,8
6,9,18,0.84,11,3
7,26,10,0.783,22,5
7,25,12,0.765,21,5
8,22,15,0.739,18,6
7,22,16,0.729,19,7
7,23,20,0.719,21,6
8,22,20,0.695,18,9
8,21,22,0.671,19,8
8,14,24,0.662,15,7
7,15,20,0.659,17,7
8,12,22,1.045,19,8
9,17,22,0.969,15,7
8,17,18,0.491,21,6
9,17,17,0.299,14,7
9,16,20,0.218,14,6
9,16,17,0.184,22,6
9,22,20,0.13,19,6
9,22,20,0.216,12,5
10,18,15,0.208,13,5
11,20,10,0.241,17,7
12,23,8,0.257,17,6
11,20,17,0.249,12,7
11,17,12,0.341,15,5
11,17,17,0.29,13,5
11,15,18,0.431,12,6
11,12,19,0.591,18,5
11,31,22,0.479,14,7
16,37,21,0.563,16,6
10,26,23,0.508,16,6
8,25,29,0.504,14,6
8,26,23,0.386,15,6
8,22,24,0.36,11,6
8,22,28,0.371,18,8
9,24,36,0.474,18,7
10,19,33,0.501,9,7
10,18,28,0.514,11,5
11,25,28,0.508,10,6
11,24,26,0.523,16,7
13,30,28,0.537,16,8
14,33,27,0.641,12,5
19,42,23,0.75,19,4
16,27,11,0.616,19,7
16,31,13,0.59,28,7
16,27,11,0.63,8,5
17,32,8,0.59,14,4
17,28,4,0.61,16,3
18,38,14,0.66,14,5
18,18,12,1.44,15,5
18,33,14,1.05,18,3
17,22,16,0.65,14,4
17,22,16,0.65,14,4
17,21,26,0.66,8,3
17,33,27,0.64,8,5
18,37,32,0.64,5,3
18,37,32,0.64,5,3
19,32,27,0.64,3,2
21,38,27,0.64,3,2
20,39,28,0.62,5,3
18,27,28,0.5,4,6
18,27,28,0.5,4,6
16,22,19,0.5,10,4
15,24,22,0.51,10,4
15,24,22,0.51,10,4
16,24,31,0.51,6,4
14,28,29,0.51,7,5
13,31,21,0.39,7,6
12,21,24,0.37,8,5
11,23,15,0.36,7,6
11,18,6,0.36,11,3
8,14,5,0.351,16,5
7,21,10,0.324,24,11
7,9,14,0.307,26,9
8,19.45454545,16,0.343,22,8
10,11,21,0.485,21,5
14,24,38,0.561,21,5
13,25,46,0.613,23,5
11,36,39,0.639,15,5
7,12,14,0.468,20,7
8,13,18,0.489,22,6
9,22,18,0.517,16,5
8,33,20,0.474,14,8
6,14,11,0.397,19,9
7,11,11,0.39,19,6
6,16.90909091,8,0.383,28,14
6,7,8,0.389,40,11
6,30,17,0.39,24,15
5,11,12,0.37,18,11
5,16,14,0.376,41,16
5,17,18,0.383,24,9
5,15,18,0.408,30,11
5,20,11,0.419,29,7
6,13,7,0.427,13,8
7,17,7,0.459,17,6
7,12,8,0.506,15,7
7,9,4,0.518,18,4
7,11,5,0.526,16,5
8,11,5,0.54,12,4
8,12,10,0.51,13,4
8,12,10,0.51,13,4
8,23,14,0.49,12,6
8,22,21,0.49,12,5
8,20,24,0.58,8,5
12,16.3,21,0.578,28,5
11,17.11818182,17,0.617,19,7
10,10,13,0.65,23,7
8,14,26,0.716,17,7
7,23,25,0.755,21,6
7,16,23,0.727,23,8
8,20,27,0.753,21,6
9,28,27,0.745,16,6
8,31,21,0.699,14,7
9,25,23,0.738,22,7
9,33,22,0.783,15,8
13,33,20,0.904,21,7
8,12,5,0.727,21,11
8,26,9,0.71,11,6
9,24,9,0.72,8,4
8,16,9,0.572,22,8
8,14,19,0.593,9,9
8,8,16,0.636,15,5
8,18,17,0.586,16,7
9,23,22,0.568,23,9
8,13,17,0.595,19,6
10,15,29,0.598,9,5
9,24,36,0.629,15,5
9,23,27,0.636,9,8
11,29,25,0.662,22,6
12,29,23,0.686,16,7
14,28,21,0.686,20,6
8,32,17,0.513,20,7
8,20,25,0.479,20,7
8,15,29,0.486,16,6
8,18,26,0.481,21,7
8,22,30,0.474,16,7
8,20,31,0.483,14,8
9,21,25,0.51,8,7
7,9,21,0.511,15,5
8,17,20,0.519,19,6
15,31,24,0.567,14,7
15,22,23,0.557,18,8
16,22,23,0.57,12,4
7,20,13,0.403,20,5
7,19,12,0.741,19,5
7,13,8,0.382,19,5
7,19,10,0.239,18,5
7,19,16,0.213,11,5
7,28,22,0.273,18,6
7,20,30,0.867,12,7
8,20,23,0.399,12,6
8,21,23,0.41,6,4
9,16,20,0.289,20,6
11,12,28,0.316,21,5
11,16,23,0.837,19,7
9,24,26,0.652,21,6
7,19,21,0.466,18,5
9,22,29,0.416,12,6
9,25,22,0.38,11,6
9,29,24,0.332,17,7
11,16,37,0.337,13,5
9,19,30,0.369,23,5
8,32,22,0.385,18,6
10,30,26,0.415,25,6
8,20,8,0.256,24,8
8,21,10,0.226,25,6
9,24,11,0.184,25,8
9,17,17,0.189,19,7
8,13,24,0.249,18,6
7,18.27272727,23,0.211,19,3
8,25,22,0.168,24,6
8,16,23,0.161,30,8
9,9,41,0.247,22,9
8,13,26,0.266,15,7
6,13,32,0.215,24,6
9,16,30,0.242,21,5
12,18,51,0.248,19,6
13,21,34,0.248,17,6
11,24,32,0.266,17,7
11,19,25,0.295,15,6
14,27,27,0.321,22,4
14,28,25,0.381,20,5
12,27,26,0.432,21,6
13,26,48,0.456,19,7
10,18,56,0.471,19,8
7,7,24,0.487,29,6
7,20,26,0.48,16,7
6,17.5,28,0.478,18,8
7,21,18,0.476,18,6
6,8,14,0.477,23,6
7,8,14,0.49,15,4
6,12,12,0.751,22,6
6,18.31818182,4,0.784,26,6
8,12,2,0.553,22,5
8,13,2,0.56,16,3
9,42,18,0.412,19,6
7,28,25,0.383,17,8
6,20,21,0.309,20,7
6,23,26,0.308,20,7
5,23,24,0.327,18,6
5,13,16,0.31,21,6
6,15,14,0.327,24,6
6,20,33,0.36,14,8
6,18,33,1.011,19,7
6,10,25,0.421,18,8
6,9,19,0.441,20,7
7,10,13,0.472,29,7
7,13,15,0.481,25,6
7,15,17,0.498,21,6
7,26,17,0.51,24,7
7,23,13,0.531,18,5
8,19,13,0.541,20,6
8,30,10,0.6,25,6
9,18,20,0.708,18,5
10,17,20,0.71,12,3
8,23,17,0.672,23,7
10,22,13,1.206,20,6
9,21,16,0.842,24,8
9,21,27,0.799,27,4
10,32,35,0.959,22,8
12,38,33,1.018,21,5
11,26.90909091,24,0.796,24,6
14,21,30,0.858,27,7
14,26,31,1.065,19,5
15,31,34,1.532,23,5
14,30,41,1.307,14,6
12,31,31,1.321,13,5
12,36,30,1.379,14,5
14,41,32,1.402,17,5
9,30,17,1.207,17,7
9,24,14,1.136,20,6
9,15,9,1.019,40,9
10,13,11,0.915,47,11
10,19,9,0.837,44,13
9,16,21,0.705,36,12
8,8,25,0.665,41,11
10,10,20,0.606,49,11
9,16,23,0.552,31.18181818,22
10,15,22,0.57,1,6
10,15,22,0.57,1,6
13,18,34,0.52,17,7
9,15,39,0.551,34,10
8,16,35,0.439,33,8
9,14,45,0.418,23,10
12,19,34,0.394,26,7
13,21,32,0.384,22,5
16,27,33,0.477,19,6
13,24,24,0.435,12,5
12,23,19,0.401,24,6
10,13,11,0.329,28,6
10,17.63636364,11,0.289,35,6
10,14,11,0.3,21,5
10,14,11,0.286454545,17,4
7,12,7,0.28,15,5
8,12,15,0.22,16,3
8,15,12,0.18,15,3
9,19,11,0.12,15,4
9,19,11,0.12,15,4
11,24,11,0.08,17,4
11,25,20,0.06,8,4
10,23,14,0.07,17,4
11,26,13,0.06,16,3
11,25,11,0.05,17,5
11,24,9,0.05,21,3
11,22,2,0.05,31,4
11,13,2,0.05,32,6
9,13,3,0.05,16,4
8,13,12,0.05,16,2
8,13,12,0.05,16,2
7,26,21,0.012,21,5
8,39,25,0.022,18,6
9,16,24,0.047,17,6
12,22,17,0.097,14,5
14,24,14,0.084,23,6
13,16,14,0.068,22,6
13,21,16,0.127,14,4
12,23,15,0.127,20,5
10,21,13,0.097,17,7
10,18,19,0.162,18,5
11,22,18,0.21,11,5
13,32,25,0.177,11,5
16,34,24,0.159,17,7
15,25,16,0.198,20,5
12,23,8,0.104,31,6
11,26,7,0.005,36,11
9,23,2,0.008,54,11
8,19,3,0.014,31,7
8,17,2,0.006,27,6
7,17,5,0.055833333,25,7
8,23,10,0.066547619,23,9
8,15,7,0.081797619,20,6
8,10,8,0.097575397,19,6
8,15,14,0.109775397,14,5
9,15,16,0.11550267,11,5
8,22,22,0.273,18,6
7,20,21,0.226,10,6
7,23,28,0.147,15,6
8,21,27,0.13,6,5
8,21,27,0.077,9,6
8,13,32,2.281,11,7
9,19,29,0.14,13,4
10,22,25,0.157,12,5
10,21,25,0.164,12,5
9,18,22,0.157,16,6
10,17,21,0.148,15,4
12,26,17,0.139,16,5
13,45,19,0.199,15,6
13,44,27,0.124,16,34
12,24,20,0.024,20,18
11,19,12,0.101,27,11
12,20,12,0.11,18,10
10,14,13,0.876,22,10
11,11,10,0.801,23,8
12,10,10,0.81,21,7
13,26,16,0.619,41,16
16,35,18,0.621,45,12
19,45,24,0.736,41,9
19,53,34,0.848,29,9
24,60,36,0.942,23,9
24,56,40,0.961,15,5
26,48,34,0.933,18,7
24,46,39,0.919,19,6
25,47,39,0.93,12,4
22,48,41,0.956,15,5
22,35,39,0.948,16,4
21,28,39,0.944,12,6
19,27,36,0.941,15,4
18,30,36,0.914,10,5
18,36,33,0.886,11,5
18,37,31,0.857,10,6
21,43,34,0.987,16,7
21,46,35,0.8,19,16
24,49,38,0.69,24,14
27,44,35,0.768,22,12
29,44,29,0.721,53,9
37,61,32,0.618,45,11
29,57,22,0.573,47,7
22,33,25,0.545,39,7
23,34,26,0.55,39,7
20,36,19,0.519,38,6
20,44,27,0.467,31,5
21,38,37,0.595,28,5
24,35,43,0.566,20,6
25,36,43,0.57,19,5
25,37,44,0.54,13,6
27,45,58,0.737,11,3
28,46,59,0.75,6,3
25,40,47,1.647,14,5
24,38,46,0.841,20,5
22,44,46,0.858,9,5
21,31,44,0.888,8,5
20,35,41,0.909,15,6
19,22,37,0.902,11,5
18,33,27,0.953,15,4
16,31,32,1.041,15,6
17,33,22,0.986,26,8
14,38,20,0.877,30,11
16,24,14,0.398,57,10
17,24,14,0.28,27,6
14,16,20.81818182,0.740909091,26.72727273,6.818181818
14,17,18,0.743,27,7
15,27,16,0.716,28,7
16,18,20,0.726,26,6
16,21,20,0.679,25,5
14,19,26,0.751,18,5
14,22.09090909,33,0.773,14,4
15,17,35,0.79,8,3
14,19,41,0.78,5,3
12,31,39,0.9,4,4
11,25,37,1.49,5,2
12,33,34.36363636,0.938,6.8,3
12,33,36,0.83,5.68,3
16,38,36,0.81,3,4
13,19,32,0.76,3,3
14,22,31,0.73,4,5
14,23,32,0.69,4,3
14,19,28.30578512,0.728,7.748,4.1
14,19,29,0.745,9.675272727,4.463636364
16,33,26,0.79,5,3
17,36,24,0.81,10,5
15,28,19,0.72,12,6
15,21,12,0.65,24,6
14,34,11,0.676,28,7
13,24,19,0.796,25,5
13,15,20,0.74,22,5
13,18,20,0.75,20,4
13,18,23,0.74,17,4
12,17,23,0.675,15,4
11,20,29,0.746,14,5
10,21,32,0.803,11,4
10,23,39,0.808,8,6
10,35,42,0.878,7,5
14,50,37,0.931,9,4
14,44,37,0.925,11,5
14,45,37,0.93,5,5
14,30,33,1.837,12,5
11,23,30,0.921,17,7
11,18,27,0.942,13,6
11,12,25,0.964,9,5
11,18,20,0.969,14,5
12,26,24,0.964,10,4
13,27,24,0.97,4,3
12,33,24,1.066,13,9
10,16,16,0.823,18,8
10,18,9,0.756,21,5
10,21,12,0.759,25,9
10,19,11,0.697,25,7
10,15,12,0.681,16,8
10,13,13,0.626,24,7
11,14,16,0.588,16,6
11,15,18,0.521,13,4
10,11,25,0.552,14,4
11,20,24,0.507,15,3
11,22,32,0.548,14,5
9,31,29,0.503,13,6
7,21,23,0.476,13,4
8,18,32,0.549,9,5
9,16,30,0.516,14,7
9,24,32,0.521,16,7
10,24,32,0.53,8,6
10,22,27,0.605,17,4
11,22,25,0.614,7,5
12,16,25,0.602,6,4
13,19,24,0.58,11,4
14,22,24,0.593,17,4
14,33,21,0.608,11,3
15,33,21,0.62,8,3
12,23,11,0.577,23,12
12,13,7,0.472,54,16
12,17,9,0.424,33,6
12,20,9,0.397,33,7
11,26,10,0.326,29,4
10,21,9,0.278,24,5
10,23,10,0.236,14,6
10,16,13,0.185,18,6
11,19,16,0.169,15,5
12,18,25,0.194,11,6
13,18,24,0.273,15,5
13,20,25,0.26,10,6
10,21,25,0.348,15,5
10,14,21,0.339,13,5
10,12,21,0.35,7,3
12,20,25,0.37,6,5
9,14,26,1.331,10,5
9,26,28,0.455,14,5
10,19,29,0.497,7,5
10,16,27,0.495,13,4
10,20,24,0.492,4,6
11,22,24,0.511,9,4
21,54,23,0.58,19,4
14,31,21,0.598,12,5
10,10,10,0.451,21,8
10,13,3,0.396,34,12
10,16,4,0.367,36,8
9,22,7,0.395,26,7
7,24,11,0.358,22,5
7,16,9,0.327,25,4
8,14,11,0.305,23,6
9,13,17,0.306,27,6
10,26,25,0.287,15,7
10,10,20,0.344,15,5
10,26,24,0.359,8,5
10,16,28,0.412,15,3
10,20,27,0.459,10,4
9,21,27,0.425,11,5
8,23,39,0.446,11,6
7,23,36,0.49,9,6
7,21,35,0.516,11,7
9,19,36,0.531,12,6
9,10,34,0.497,9,5
10,11,35,0.51,3,4
8,40,30,0.548,11,4
9,35,28,0.589,13,3
10,37,24,0.8,11,5
9,10,23,0.728,12,10
10,15,14,0.432,16,9
10,23,11,0.185,24,8
10,24.63636364,10,0.196,19,7
11,22,12,0.203,19,7
11,19,13,0.243,24,5
10,18,14,0.256,29,6
8,23,17,0.266,31,6
10,29,24,0.272,23,7
11,21,24,0.28,14,4
11,13,22,0.267,18,4
12,14,29,0.262,15,5
14,15,27,0.338,13,4
13,18,26,0.387,11,4
12,23,39,0.433,13,6
9,20,38,0.442,7,6
8,22,41,0.482,10,8
6,15,42,1.062,9,7
8,12,40,0.547,13,5
10,26,39,0.552,11,7
11,20,38,0.604,7,7
9,17,33,0.647,12,4
8,22,31,0.646,3,5
10,25,27,0.673,12,6
11,24,31,0.793,10,7
12,18,34,0.982,9,8
12,46,33,0.891,8,5
10,26,30,0.898,10,4
11,25,29,0.861,12,5
12,32,34,0.776,12,10
11,18,23,0.766,18,5
11,21,20,0.783,19,6
11,19,19,0.751,19,6
12,22,26,0.788,17,6
13,31,34,0.834,13,5
14,29,24,0.857,28,5
14,22,32,1.049,27,4
13,25,29,1.123,25,4
11,18,28,1.081,20,6
11,18,37,1.118,19,5
10,20,32,1.101,20,5
13,25,39,1.958,19,5
11,21,32,1.484,11,5
14,28,42,1.29,17,4
17,29,41,1.194,17,7
14,25,33,1.085,11,5
15,28,38,1.06,14,6
16,37,28,1.018,15,4
16,47,34,0.956,11,4
14,55,31,1.055,26,5
10,19,8,0.81,32,13
10,19,8,0.791,44,15
11,24,14,0.794,32,15
11,25,13,0.699,38,9
12,29,7,0.746,44,12
12,14,11,0.594,23,7
13,23.54545455,14,0.61,28,6
13,18,19,0.605,24,8
13,14,27,0.594,14,6
12,40,29,0.631,14,4
11,31,29,0.691,10,5
9,26,43,0.721,9,9
8,15,35,0.73,12,8
8,15,30,0.727,16,6
10,24,36,1.171,7,5
11,18,34,1.44,13,4
11,16,31,0.912,10,5
13,31,28,0.928,8,5
10,13,25,0.893,13,5
11,22,24,0.918,8,3
11,20,20,0.959,12,4
12,32,19,1.031,17,7
10,12,13,0.866,24,6
9,12,7,0.801,24,6
9,25,10,0.748,18,7
8,17,10,0.713,18,6
8,15,11,0.676,23,6
9,42,18,0.693,22,6
10,14,28,0.848,13,4
9,27.09090909,30,0.758,11,5
10,29,27,0.912,14,4
9,29,25,0.844,16,5
8,22,27,0.701,14,3
10,26,30,0.863,9,6
13,67,36,0.895,12,5
14,60,31,0.944,14,5
15,39,29,0.962,13,4
16,36,26,1.009,14,6
15,28,26,0.983,10,6
14,15,31,0.956,20,6
18,35.36363636,31,0.984,25,6
20,24,30,1.048,19,6
18,24,26,1.059,15,6
14,27,23,0.989,14,2
13,38,19,1.014,21,7
12,31,24,1.032,18,6
12,45,19,0.979,21,7
10,29.90909091,8,0.878,28,8
9,38,9,0.738,40,9
10,31,17,0.882,28,4
11,22,18,0.9,16,2
9,38,19,0.882,29,8
9,11,21,0.945,28,5
8,13,19,0.967,35,6
9,20,26,1.03,24,5
10,36,38,1.129,29,5
10,29,35,1.11,20,6
10,28,35,1.08,24,6
12,30,32,1.123,23,5
13,39,33,1.159,23,4
12,36,32,1.155,24,6
14,34,32,1.172,24,5
14,32,30,1.673,19,6
14,30,28,1.174,24,3
13,37,32,1.17,11,3
12,30,29,1.121,25,6
11,27,29,1.123,25,4
10,19,28,1.073,27,4
15,30,32,1.118,21,6
16,30,32,1.13,15,3
31,56,45,1.301,34,4
32,50,51,1.344,30,6
35,68,45,1.322,44,7
20,29,33,1.29,41,4
15,25,24,1.285,35,8
15,27,11,1.191,42,15
16,22,22,1.112,44,5
12,27.45454545,20,1.072,38,6
12,17,24,1.043,39,4
11,12,33,1.035,39,6
10,24,28,1.087,39,5
10,14,31,1.083,30,7
10,14,26,1.145,34,7
11,24,26,1.184,30,6
13,27,32,1.19,28,4
14,29,29,1.394,22,6
16,26,26,1.398,28,5
20,32,22,1.318,34,5
35,70,42,1.425,22,5
35,71,42,1.44,15,3
49,85,46,1.628,36,9
48,84,38,1.778,37,5
49,84,38,1.79,26,3
56,91,44,1.93,23,6
69,104,40,1.94,28,3
56,87,12,1.731,50,8
60,65,13,1.708,63,5
62,86,12,1.688,53,3
52,67,9,1.603,55,4
42,47,8,1.49,64,7
56,104,5,1.402,53,14
57,105,4,1.42,43,9
60,72,14,1.396,88,16
63,95,18,1.445,80,15
55,82,20,1.348,66,12
29,47,18,1.249,35,7
25,68.5,17,1.18,36,5
24,64.0625,22,1.153,36,6
18,58.9453125,16,1.071,31,5
18,25,17,1.08,28,3
15,18,14,1.566,40,4
17,37.61197917,14,1.066,45,5
15,36.56886574,16,1.129,36,5
15,31.91886574,16,1.137,30,7
15,16,17,1.107,32,6
16,16,17,1.13,27,3
18,25,16,1.111,34,5
19,24.37270097,19,1.227,23,6
19,22,16,1.142,36,7
19,19,13,1.465,31,6
15,21,11,1.385,26,6
16,21,11,1.39,22,4
18,22,11,1.096,30,7
21,22,13,1.154,30,6
18,24.54545455,10,0.996,27,6
16,18,12,1.02,28,7
17,28,13,1.003,39,6
16,31,17,1.007,36,6
16,24,17,1.121,35,5
21,42,21,1.009,30,6
20,37,18,1.049,38,5
18,32,16,1.474,33,5
18,28,17,1.152,34,7
19,31,16,1.226,36,6
15,21,17,1.105,36,6
14,30.28571429,15,1.052,31,4
14,28.53571429,13,1.154,30,4
14,27.42460317,14,1.147,37,5
14,26.12460317,14,1.09,32,5
12,26.76096681,14,1.118,23,5
13,21,14,1.113,26,4
13,28,16,1.093,23,5
12,27,14,1.037,35,5
13,19,11,1.036,26,6
17,35,12,1.036,36,6
24,25,14,1.054,34,7
29,37.54545455,15,1.09,40,7
27,43,10,1.175,42,7
24,49,9,1.096,45,9
23,52,15,1.084,44,8
22,51,16,1.1,41,8
24,63,23,1.1,31,9
28,63,25,1.133,47,10
33,58,14,0.845,42,6
33,63,17,0.842,48,6
